source,mapping,property,type,subsets
ID,EC RO:0000053 some %,,TYPE,
BFO:0000001,XBFO:0000001,RO:0000053,class,
BFO:0000002,XBFO:0000002,RO:0000053,class,
BFO:0000003,XBFO:0000003,RO:0000053,class,
BFO:0000004,XBFO:0000004,RO:0000053,class,
BFO:0000006,XBFO:0000006,RO:0000053,class,
BFO:0000008,XBFO:0000008,RO:0000053,class,
BFO:0000009,XBFO:0000009,RO:0000053,class,
BFO:0000011,XBFO:0000011,RO:0000053,class,
BFO:0000015,XBFO:0000015,RO:0000053,class,COB
BFO:0000016,XBFO:0000016,RO:0000053,class,COB
BFO:0000017,XBFO:0000017,RO:0000053,class,COB
BFO:0000018,XBFO:0000018,RO:0000053,class,
BFO:0000019,XBFO:0000019,RO:0000053,class,
BFO:0000020,XBFO:0000020,RO:0000053,class,COB
BFO:0000023,XBFO:0000023,RO:0000053,class,COB
BFO:0000024,XBFO:0000024,RO:0000053,class,
BFO:0000026,XBFO:0000026,RO:0000053,class,
BFO:0000027,XBFO:0000027,RO:0000053,class,
BFO:0000028,XBFO:0000028,RO:0000053,class,
BFO:0000029,XBFO:0000029,RO:0000053,class,COB
BFO:0000030,XBFO:0000030,RO:0000053,class,
BFO:0000031,XBFO:0000031,RO:0000053,class,
BFO:0000034,XBFO:0000034,RO:0000053,class,COB
BFO:0000035,XBFO:0000035,RO:0000053,class,
BFO:0000038,XBFO:0000038,RO:0000053,class,
BFO:0000040,XBFO:0000040,RO:0000053,class,COB
BFO:0000140,XBFO:0000140,RO:0000053,class,
BFO:0000141,XBFO:0000141,RO:0000053,class,COB
BFO:0000142,XBFO:0000142,RO:0000053,class,
BFO:0000144,XBFO:0000144,RO:0000053,class,
BFO:0000145,XBFO:0000145,RO:0000053,class,
BFO:0000146,XBFO:0000146,RO:0000053,class,
BFO:0000147,XBFO:0000147,RO:0000053,class,
BFO:0000148,XBFO:0000148,RO:0000053,class,
BFO:0000182,XBFO:0000182,RO:0000053,class,
